Id	Count	File(s)
8ST6	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST6_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST6_R2.fastq
8ST8	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST8_R2.fastq
8ST10	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST10_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST10_R2.fastq
8ST12	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST12_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST12_R2.fastq
8ST27	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST27_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST27_R2.fastq
4SP29	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP29_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP29_R2.fastq
4SP37	3	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP37_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP37_R2.fastq
4SP45	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP45_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP45_R2.fastq
8SP1	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP1_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP1_R2.fastq
8SP9	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP9_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP9_R2.fastq
8SP17	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP17_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP17_R2.fastq
plasma-7	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-7_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-7_R2.fastq
8ST18	3	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST18_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST18_R2.fastq
8ST20	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST20_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST20_R2.fastq
8ST22	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST22_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST22_R2.fastq
8ST25	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST25_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST25_R2.fastq
8ST3	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST3_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST3_R2.fastq
4SP30	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP30_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP30_R2.fastq
4SP38	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP38_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP38_R2.fastq
4SP46	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP46_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP46_R2.fastq
8SP2	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP2_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP2_R2.fastq
8SP10	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP10_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP10_R2.fastq
8SP18	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP18_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP18_R2.fastq
plasma-8	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-8_R2.fastq
